name,age
Nicoli,5
Kate,14
Gretal,43
Nerta,22
Ann-Marie,10
Grier,50
Sandie,16
Kalina,27
Shaine,53
Dania,13
Sissy,38
Karlee,58
Eolanda,41
Paule,20
Jessy,5
Cecile,58
Donetta,17
Di,57
Alameda,3
Marita,16
Rozele,19
Ellette,19
Sashenka,35
Marti,55
Halette,49
Dale,20
Sheree,12
Ricky,12
Karina,43
Dennie,35
Kial,5
Marjie,2
Inga,50
Raquela,35
Orelia,42
Dotty,1
Cristine,23
Marguerite,57
Leeanne,30
Ada,42
Libbie,57
Winifred,27
Elfreda,12
Doralynne,59
Ira,14
Brianna,40
Harmonia,32
Anthia,23
Deirdre,7
Kimberley,38
Clementine,5
Adele,15
Sonni,50
Jere,15
Almeta,44
Romona,48
Anica,36
Marjie,52
Georgetta,31
Dyann,8
Demetris,4
Grier,37
Shauna,43
Renae,32
Debee,54
Tressa,7
Verla,44
Cherrita,41
Frances,12
Hyacinthe,16
Vita,21
Jaime,40
Lolita,34
Oralee,43
Inga,12
Aryn,39
Vanessa,44
Starla,45
Norine,2
Karlee,33
Merrie,2
Ermengarde,40
Caryl,52
Demetris,18
Marline,46
Sherrie,40
Marjie,4
Leia,54
Romona,47
Alyssa,46
Nannie,58
Flo,20
Cacilie,59
Chere,49
Mamie,50
Lorie,37
Emylee,1
Merrie,46
Gavrielle,2
Stacey,4
Brandise,53
Ardenia,10
Janeczka,7
Anallese,32
Max,42
Kaja,17
Robbi,50
Dorene,37
Johna,40
Mildrid,49
Correy,47
Dania,8
Suzette,18
Olivette,13
Maurene,17
Mireielle,58
Larine,6
Delilah,2
Darci,59
Dulce,26
Alyda,35
Iseabal,30
Libbie,50
Jessy,5
Britte,58
Viki,27
Nanete,27
Katuscha,32
Emelina,52
Nannie,13
Aaren,38
Randa,5
Jany,8
Paule,43
Max,7
Susette,56
Louella,20
Sindee,60
Brynna,27
Valera,45
Charlena,26
Margette,59
Corina,50
Blinni,34
Charmaine,58
Frances,12
Isa,23
Goldie,39
Letizia,44
Wynne,47
Pamella,23
Pollyanna,22
Sophia,53
Averyl,57
Demetris,49
Anica,52
Karena,30
Nessie,31
Hollie,59
